"naam","omschrijving","categorie","gm","id"
"chips",,"2","nee","3195"
"smoelenpoetsers",,"3","nee","3196"
"Blusdeken",,"5","nee","3197"
"Brandblusser",,"5","nee","3198"
"Lichtslangen",,"8","nee","3199"
"Wijn fles",,"2","nee","3200"
"Krat fris",,"2","nee","3201"
"Sirene",,"1","nee","3202"
"fietssleutelbakjes 7/8",,"6","nee","3203"
"behangrol",,"3","nee","3204"
"insteekhoes A4",,"3","nee","3205"
"bivakmutsen",,"8","nee","3206"
"ping pong batjes",,"9","nee","3207"
"weckpot",,"3","nee","3208"
"Engelse drop",,"2","nee","3209"
"sticker wit",,"3","nee","3210"
"popcorn zout",,"2","nee","3211"
"overig",,"1","nee","3214"
"leesboek",,"5","nee","3215"
"tentje",,"1","nee","3219"
"zwembadje",,"1","nee","3220"
"naaigarnituur",,"8","nee","3222"
"sokken",,"1","nee","3223"
"haspel 50m",,"5","nee","3226"
"pindakaas",,"2","nee","3229"
"salami",,"2","nee","3231"
"chocoladepasta",,"2","nee","3232"
"kledinghangers",,"3","nee","3233"
"spijkerbroek",,"1","nee","3234"
"hoeslaken",,"1","nee","3235"
"koffer",,"1","nee","3236"
"paperclips",,"1","nee","3237"
"spuitbus",,"10","nee","3238"
"sloten",,"8","nee","3239"
"kettingzaag",,"8","nee","3240"
"Breinaald",,"1","nee","3243"
"Wasmachine",,"8","nee","3244"
"Waslijn",,"5","nee","3245"
"Wasknijpers",,"5","nee","3246"
"Cheque",,"10","nee","3250"
"Tapijt",,"9","nee","3251"
"Kartonnen doos (groot)",,"10","nee","3252"
"emmer (groot)",,"9","nee","3254"
"bestekbak",,"7","nee","3256"
"slabak",,"7","nee","3257"
"Icepacks",,"6","nee","3258"
"meethout",,"9","nee","3259"
